REGIAO,FAIXA_ETARIA,Febre_Missing,Febre_No,Febre_Yes,Tosse_Missing,Tosse_No,Tosse_Yes,Garganta_Missing,Garganta_No,Garganta_Yes
Sudeste,60 a 70 anos,23.333333333333332,38.88888888888889,37.77777777777778,15.555555555555555,13.88888888888889,70.55555555555556,31.11111111111111,55.55555555555556,13.333333333333334
Sudeste,70 a 80 anos,18.543046357615893,48.34437086092716,33.11258278145696,9.271523178807946,13.90728476821192,76.82119205298014,22.516556291390728,62.913907284768214,14.56953642384106
Sudeste,80 anos ou mais,24.166666666666668,41.25,34.583333333333336,11.25,14.166666666666666,74.58333333333333,33.75,60.416666666666664,5.833333333333333
Sudeste,9 a 12 anos,24.0,22.0,54.0,10.0,14.000000000000002,76.0,40.0,56.00000000000001,4.0
Sul,0 a 6 meses,14.769744691004533,33.87019804342639,51.36005726556908,5.308995466475781,7.301360057265568,87.38964447625865,31.44834168456216,66.16559293724647,2.386065378191362
Sul,1 a 4 anos,6.610499027867791,12.054439403758911,81.3350615683733,4.342190537913156,8.360337005832793,87.29747245625406,29.034348671419313,62.08684381075826,8.878807517822423
Sul,4 a 6 anos,7.048458149779736,17.180616740088105,75.77092511013215,10.13215859030837,7.929515418502203,81.93832599118943,34.801762114537446,55.947136563876654,9.251101321585903
Sul,6 a 9 anos,9.75609756097561,20.32520325203252,69.91869918699187,8.94308943089431,12.195121951219512,78.86178861788618,29.268292682926827,62.601626016260155,8.130081300813007
Sul,6 meses a 1 ano,8.29232283464567,12.376968503937007,79.33070866141733,4.6013779527559056,6.200787401574804,89.19783464566929,32.62795275590551,62.79527559055118,4.576771653543307
Sul,60 a 70 anos,17.216117216117215,43.58974358974359,39.1941391941392,5.86080586080586,18.315018315018314,75.82417582417582,22.71062271062271,62.27106227106227,15.018315018315018
Sul,70 a 80 anos,16.783216783216783,46.50349650349651,36.71328671328671,7.3426573426573425,14.685314685314685,77.97202797202797,23.076923076923077,61.88811188811189,15.034965034965033
Sul,80 anos ou mais,26.25,41.875,31.874999999999996,10.3125,14.374999999999998,75.3125,31.5625,61.25000000000001,7.187499999999999
Sul,9 a 12 anos,11.76470588235294,32.35294117647059,55.88235294117647,2.941176470588235,5.88235294117647,91.17647058823529,29.411764705882355,61.76470588235294,8.823529411764707
